annots,mix,music,sfx,speech
D:\dnr\tr\58632\annots.csv,D:\dnr\tr\58632\mix.wav,D:\dnr\tr\58632\music.wav,D:\dnr\tr\58632\sfx.wav,D:\dnr\tr\58632\speech.wav
D:\dnr\tr\58652\annots.csv,D:\dnr\tr\58652\mix.wav,D:\dnr\tr\58652\music.wav,D:\dnr\tr\58652\sfx.wav,D:\dnr\tr\58652\speech.wav
D:\dnr\tr\58653\annots.csv,D:\dnr\tr\58653\mix.wav,D:\dnr\tr\58653\music.wav,D:\dnr\tr\58653\sfx.wav,D:\dnr\tr\58653\speech.wav
D:\dnr\tr\58744\annots.csv,D:\dnr\tr\58744\mix.wav,D:\dnr\tr\58744\music.wav,D:\dnr\tr\58744\sfx.wav,D:\dnr\tr\58744\speech.wav
D:\dnr\tr\58748\annots.csv,D:\dnr\tr\58748\mix.wav,D:\dnr\tr\58748\music.wav,D:\dnr\tr\58748\sfx.wav,D:\dnr\tr\58748\speech.wav
D:\dnr\tr\58772\annots.csv,D:\dnr\tr\58772\mix.wav,D:\dnr\tr\58772\music.wav,D:\dnr\tr\58772\sfx.wav,D:\dnr\tr\58772\speech.wav
D:\dnr\tr\5882\annots.csv,D:\dnr\tr\5882\mix.wav,D:\dnr\tr\5882\music.wav,D:\dnr\tr\5882\sfx.wav,D:\dnr\tr\5882\speech.wav
D:\dnr\tr\58826\annots.csv,D:\dnr\tr\58826\mix.wav,D:\dnr\tr\58826\music.wav,D:\dnr\tr\58826\sfx.wav,D:\dnr\tr\58826\speech.wav
D:\dnr\tr\58864\annots.csv,D:\dnr\tr\58864\mix.wav,D:\dnr\tr\58864\music.wav,D:\dnr\tr\58864\sfx.wav,D:\dnr\tr\58864\speech.wav
D:\dnr\tr\58865\annots.csv,D:\dnr\tr\58865\mix.wav,D:\dnr\tr\58865\music.wav,D:\dnr\tr\58865\sfx.wav,D:\dnr\tr\58865\speech.wav
D:\dnr\tr\58875\annots.csv,D:\dnr\tr\58875\mix.wav,D:\dnr\tr\58875\music.wav,D:\dnr\tr\58875\sfx.wav,D:\dnr\tr\58875\speech.wav
D:\dnr\tr\58876\annots.csv,D:\dnr\tr\58876\mix.wav,D:\dnr\tr\58876\music.wav,D:\dnr\tr\58876\sfx.wav,D:\dnr\tr\58876\speech.wav
D:\dnr\tr\58914\annots.csv,D:\dnr\tr\58914\mix.wav,D:\dnr\tr\58914\music.wav,D:\dnr\tr\58914\sfx.wav,D:\dnr\tr\58914\speech.wav
D:\dnr\tr\5898\annots.csv,D:\dnr\tr\5898\mix.wav,D:\dnr\tr\5898\music.wav,D:\dnr\tr\5898\sfx.wav,D:\dnr\tr\5898\speech.wav
D:\dnr\tr\58995\annots.csv,D:\dnr\tr\58995\mix.wav,D:\dnr\tr\58995\music.wav,D:\dnr\tr\58995\sfx.wav,D:\dnr\tr\58995\speech.wav
D:\dnr\tr\58996\annots.csv,D:\dnr\tr\58996\mix.wav,D:\dnr\tr\58996\music.wav,D:\dnr\tr\58996\sfx.wav,D:\dnr\tr\58996\speech.wav
D:\dnr\tr\59001\annots.csv,D:\dnr\tr\59001\mix.wav,D:\dnr\tr\59001\music.wav,D:\dnr\tr\59001\sfx.wav,D:\dnr\tr\59001\speech.wav
D:\dnr\tr\59016\annots.csv,D:\dnr\tr\59016\mix.wav,D:\dnr\tr\59016\music.wav,D:\dnr\tr\59016\sfx.wav,D:\dnr\tr\59016\speech.wav
D:\dnr\tr\59020\annots.csv,D:\dnr\tr\59020\mix.wav,D:\dnr\tr\59020\music.wav,D:\dnr\tr\59020\sfx.wav,D:\dnr\tr\59020\speech.wav
D:\dnr\tr\59050\annots.csv,D:\dnr\tr\59050\mix.wav,D:\dnr\tr\59050\music.wav,D:\dnr\tr\59050\sfx.wav,D:\dnr\tr\59050\speech.wav
D:\dnr\tr\59122\annots.csv,D:\dnr\tr\59122\mix.wav,D:\dnr\tr\59122\music.wav,D:\dnr\tr\59122\sfx.wav,D:\dnr\tr\59122\speech.wav
D:\dnr\tr\59132\annots.csv,D:\dnr\tr\59132\mix.wav,D:\dnr\tr\59132\music.wav,D:\dnr\tr\59132\sfx.wav,D:\dnr\tr\59132\speech.wav
D:\dnr\tr\5915\annots.csv,D:\dnr\tr\5915\mix.wav,D:\dnr\tr\5915\music.wav,D:\dnr\tr\5915\sfx.wav,D:\dnr\tr\5915\speech.wav
D:\dnr\tr\59162\annots.csv,D:\dnr\tr\59162\mix.wav,D:\dnr\tr\59162\music.wav,D:\dnr\tr\59162\sfx.wav,D:\dnr\tr\59162\speech.wav
D:\dnr\tr\59166\annots.csv,D:\dnr\tr\59166\mix.wav,D:\dnr\tr\59166\music.wav,D:\dnr\tr\59166\sfx.wav,D:\dnr\tr\59166\speech.wav
D:\dnr\tr\59178\annots.csv,D:\dnr\tr\59178\mix.wav,D:\dnr\tr\59178\music.wav,D:\dnr\tr\59178\sfx.wav,D:\dnr\tr\59178\speech.wav
D:\dnr\tr\59193\annots.csv,D:\dnr\tr\59193\mix.wav,D:\dnr\tr\59193\music.wav,D:\dnr\tr\59193\sfx.wav,D:\dnr\tr\59193\speech.wav
D:\dnr\tr\59275\annots.csv,D:\dnr\tr\59275\mix.wav,D:\dnr\tr\59275\music.wav,D:\dnr\tr\59275\sfx.wav,D:\dnr\tr\59275\speech.wav
D:\dnr\tr\59276\annots.csv,D:\dnr\tr\59276\mix.wav,D:\dnr\tr\59276\music.wav,D:\dnr\tr\59276\sfx.wav,D:\dnr\tr\59276\speech.wav
D:\dnr\tr\59322\annots.csv,D:\dnr\tr\59322\mix.wav,D:\dnr\tr\59322\music.wav,D:\dnr\tr\59322\sfx.wav,D:\dnr\tr\59322\speech.wav
D:\dnr\tr\59327\annots.csv,D:\dnr\tr\59327\mix.wav,D:\dnr\tr\59327\music.wav,D:\dnr\tr\59327\sfx.wav,D:\dnr\tr\59327\speech.wav
D:\dnr\tr\59357\annots.csv,D:\dnr\tr\59357\mix.wav,D:\dnr\tr\59357\music.wav,D:\dnr\tr\59357\sfx.wav,D:\dnr\tr\59357\speech.wav
D:\dnr\tr\59368\annots.csv,D:\dnr\tr\59368\mix.wav,D:\dnr\tr\59368\music.wav,D:\dnr\tr\59368\sfx.wav,D:\dnr\tr\59368\speech.wav
D:\dnr\tr\59403\annots.csv,D:\dnr\tr\59403\mix.wav,D:\dnr\tr\59403\music.wav,D:\dnr\tr\59403\sfx.wav,D:\dnr\tr\59403\speech.wav
D:\dnr\tr\59479\annots.csv,D:\dnr\tr\59479\mix.wav,D:\dnr\tr\59479\music.wav,D:\dnr\tr\59479\sfx.wav,D:\dnr\tr\59479\speech.wav
D:\dnr\tr\59508\annots.csv,D:\dnr\tr\59508\mix.wav,D:\dnr\tr\59508\music.wav,D:\dnr\tr\59508\sfx.wav,D:\dnr\tr\59508\speech.wav
D:\dnr\tr\59575\annots.csv,D:\dnr\tr\59575\mix.wav,D:\dnr\tr\59575\music.wav,D:\dnr\tr\59575\sfx.wav,D:\dnr\tr\59575\speech.wav
D:\dnr\tr\59587\annots.csv,D:\dnr\tr\59587\mix.wav,D:\dnr\tr\59587\music.wav,D:\dnr\tr\59587\sfx.wav,D:\dnr\tr\59587\speech.wav
D:\dnr\tr\59661\annots.csv,D:\dnr\tr\59661\mix.wav,D:\dnr\tr\59661\music.wav,D:\dnr\tr\59661\sfx.wav,D:\dnr\tr\59661\speech.wav
D:\dnr\tr\59662\annots.csv,D:\dnr\tr\59662\mix.wav,D:\dnr\tr\59662\music.wav,D:\dnr\tr\59662\sfx.wav,D:\dnr\tr\59662\speech.wav
D:\dnr\tr\59678\annots.csv,D:\dnr\tr\59678\mix.wav,D:\dnr\tr\59678\music.wav,D:\dnr\tr\59678\sfx.wav,D:\dnr\tr\59678\speech.wav
D:\dnr\tr\59706\annots.csv,D:\dnr\tr\59706\mix.wav,D:\dnr\tr\59706\music.wav,D:\dnr\tr\59706\sfx.wav,D:\dnr\tr\59706\speech.wav
D:\dnr\tr\59757\annots.csv,D:\dnr\tr\59757\mix.wav,D:\dnr\tr\59757\music.wav,D:\dnr\tr\59757\sfx.wav,D:\dnr\tr\59757\speech.wav
D:\dnr\tr\59809\annots.csv,D:\dnr\tr\59809\mix.wav,D:\dnr\tr\59809\music.wav,D:\dnr\tr\59809\sfx.wav,D:\dnr\tr\59809\speech.wav
D:\dnr\tr\59821\annots.csv,D:\dnr\tr\59821\mix.wav,D:\dnr\tr\59821\music.wav,D:\dnr\tr\59821\sfx.wav,D:\dnr\tr\59821\speech.wav
D:\dnr\tr\59824\annots.csv,D:\dnr\tr\59824\mix.wav,D:\dnr\tr\59824\music.wav,D:\dnr\tr\59824\sfx.wav,D:\dnr\tr\59824\speech.wav
D:\dnr\tr\59829\annots.csv,D:\dnr\tr\59829\mix.wav,D:\dnr\tr\59829\music.wav,D:\dnr\tr\59829\sfx.wav,D:\dnr\tr\59829\speech.wav
D:\dnr\tr\59943\annots.csv,D:\dnr\tr\59943\mix.wav,D:\dnr\tr\59943\music.wav,D:\dnr\tr\59943\sfx.wav,D:\dnr\tr\59943\speech.wav
D:\dnr\tr\59944\annots.csv,D:\dnr\tr\59944\mix.wav,D:\dnr\tr\59944\music.wav,D:\dnr\tr\59944\sfx.wav,D:\dnr\tr\59944\speech.wav
D:\dnr\tr\59952\annots.csv,D:\dnr\tr\59952\mix.wav,D:\dnr\tr\59952\music.wav,D:\dnr\tr\59952\sfx.wav,D:\dnr\tr\59952\speech.wav
D:\dnr\tr\59959\annots.csv,D:\dnr\tr\59959\mix.wav,D:\dnr\tr\59959\music.wav,D:\dnr\tr\59959\sfx.wav,D:\dnr\tr\59959\speech.wav
D:\dnr\tr\59970\annots.csv,D:\dnr\tr\59970\mix.wav,D:\dnr\tr\59970\music.wav,D:\dnr\tr\59970\sfx.wav,D:\dnr\tr\59970\speech.wav
D:\dnr\tr\59994\annots.csv,D:\dnr\tr\59994\mix.wav,D:\dnr\tr\59994\music.wav,D:\dnr\tr\59994\sfx.wav,D:\dnr\tr\59994\speech.wav
D:\dnr\tr\60032\annots.csv,D:\dnr\tr\60032\mix.wav,D:\dnr\tr\60032\music.wav,D:\dnr\tr\60032\sfx.wav,D:\dnr\tr\60032\speech.wav
D:\dnr\tr\60071\annots.csv,D:\dnr\tr\60071\mix.wav,D:\dnr\tr\60071\music.wav,D:\dnr\tr\60071\sfx.wav,D:\dnr\tr\60071\speech.wav
D:\dnr\tr\60075\annots.csv,D:\dnr\tr\60075\mix.wav,D:\dnr\tr\60075\music.wav,D:\dnr\tr\60075\sfx.wav,D:\dnr\tr\60075\speech.wav
D:\dnr\tr\60079\annots.csv,D:\dnr\tr\60079\mix.wav,D:\dnr\tr\60079\music.wav,D:\dnr\tr\60079\sfx.wav,D:\dnr\tr\60079\speech.wav
D:\dnr\tr\60087\annots.csv,D:\dnr\tr\60087\mix.wav,D:\dnr\tr\60087\music.wav,D:\dnr\tr\60087\sfx.wav,D:\dnr\tr\60087\speech.wav
D:\dnr\tr\60097\annots.csv,D:\dnr\tr\60097\mix.wav,D:\dnr\tr\60097\music.wav,D:\dnr\tr\60097\sfx.wav,D:\dnr\tr\60097\speech.wav
D:\dnr\tr\60111\annots.csv,D:\dnr\tr\60111\mix.wav,D:\dnr\tr\60111\music.wav,D:\dnr\tr\60111\sfx.wav,D:\dnr\tr\60111\speech.wav
D:\dnr\tr\60169\annots.csv,D:\dnr\tr\60169\mix.wav,D:\dnr\tr\60169\music.wav,D:\dnr\tr\60169\sfx.wav,D:\dnr\tr\60169\speech.wav
D:\dnr\tr\60196\annots.csv,D:\dnr\tr\60196\mix.wav,D:\dnr\tr\60196\music.wav,D:\dnr\tr\60196\sfx.wav,D:\dnr\tr\60196\speech.wav
D:\dnr\tr\60198\annots.csv,D:\dnr\tr\60198\mix.wav,D:\dnr\tr\60198\music.wav,D:\dnr\tr\60198\sfx.wav,D:\dnr\tr\60198\speech.wav
D:\dnr\tr\6021\annots.csv,D:\dnr\tr\6021\mix.wav,D:\dnr\tr\6021\music.wav,D:\dnr\tr\6021\sfx.wav,D:\dnr\tr\6021\speech.wav
D:\dnr\tr\60212\annots.csv,D:\dnr\tr\60212\mix.wav,D:\dnr\tr\60212\music.wav,D:\dnr\tr\60212\sfx.wav,D:\dnr\tr\60212\speech.wav
D:\dnr\tr\60229\annots.csv,D:\dnr\tr\60229\mix.wav,D:\dnr\tr\60229\music.wav,D:\dnr\tr\60229\sfx.wav,D:\dnr\tr\60229\speech.wav
D:\dnr\tr\60257\annots.csv,D:\dnr\tr\60257\mix.wav,D:\dnr\tr\60257\music.wav,D:\dnr\tr\60257\sfx.wav,D:\dnr\tr\60257\speech.wav
D:\dnr\tr\60320\annots.csv,D:\dnr\tr\60320\mix.wav,D:\dnr\tr\60320\music.wav,D:\dnr\tr\60320\sfx.wav,D:\dnr\tr\60320\speech.wav
D:\dnr\tr\60348\annots.csv,D:\dnr\tr\60348\mix.wav,D:\dnr\tr\60348\music.wav,D:\dnr\tr\60348\sfx.wav,D:\dnr\tr\60348\speech.wav
D:\dnr\tr\60357\annots.csv,D:\dnr\tr\60357\mix.wav,D:\dnr\tr\60357\music.wav,D:\dnr\tr\60357\sfx.wav,D:\dnr\tr\60357\speech.wav
D:\dnr\tr\60411\annots.csv,D:\dnr\tr\60411\mix.wav,D:\dnr\tr\60411\music.wav,D:\dnr\tr\60411\sfx.wav,D:\dnr\tr\60411\speech.wav
D:\dnr\tr\60429\annots.csv,D:\dnr\tr\60429\mix.wav,D:\dnr\tr\60429\music.wav,D:\dnr\tr\60429\sfx.wav,D:\dnr\tr\60429\speech.wav
D:\dnr\tr\60441\annots.csv,D:\dnr\tr\60441\mix.wav,D:\dnr\tr\60441\music.wav,D:\dnr\tr\60441\sfx.wav,D:\dnr\tr\60441\speech.wav
D:\dnr\tr\60466\annots.csv,D:\dnr\tr\60466\mix.wav,D:\dnr\tr\60466\music.wav,D:\dnr\tr\60466\sfx.wav,D:\dnr\tr\60466\speech.wav
D:\dnr\tr\60468\annots.csv,D:\dnr\tr\60468\mix.wav,D:\dnr\tr\60468\music.wav,D:\dnr\tr\60468\sfx.wav,D:\dnr\tr\60468\speech.wav
D:\dnr\tr\60486\annots.csv,D:\dnr\tr\60486\mix.wav,D:\dnr\tr\60486\music.wav,D:\dnr\tr\60486\sfx.wav,D:\dnr\tr\60486\speech.wav
D:\dnr\tr\60505\annots.csv,D:\dnr\tr\60505\mix.wav,D:\dnr\tr\60505\music.wav,D:\dnr\tr\60505\sfx.wav,D:\dnr\tr\60505\speech.wav
D:\dnr\tr\60509\annots.csv,D:\dnr\tr\60509\mix.wav,D:\dnr\tr\60509\music.wav,D:\dnr\tr\60509\sfx.wav,D:\dnr\tr\60509\speech.wav
D:\dnr\tr\60533\annots.csv,D:\dnr\tr\60533\mix.wav,D:\dnr\tr\60533\music.wav,D:\dnr\tr\60533\sfx.wav,D:\dnr\tr\60533\speech.wav
D:\dnr\tr\60536\annots.csv,D:\dnr\tr\60536\mix.wav,D:\dnr\tr\60536\music.wav,D:\dnr\tr\60536\sfx.wav,D:\dnr\tr\60536\speech.wav
D:\dnr\tr\60567\annots.csv,D:\dnr\tr\60567\mix.wav,D:\dnr\tr\60567\music.wav,D:\dnr\tr\60567\sfx.wav,D:\dnr\tr\60567\speech.wav
D:\dnr\tr\60586\annots.csv,D:\dnr\tr\60586\mix.wav,D:\dnr\tr\60586\music.wav,D:\dnr\tr\60586\sfx.wav,D:\dnr\tr\60586\speech.wav
D:\dnr\tr\60590\annots.csv,D:\dnr\tr\60590\mix.wav,D:\dnr\tr\60590\music.wav,D:\dnr\tr\60590\sfx.wav,D:\dnr\tr\60590\speech.wav
D:\dnr\tr\60619\annots.csv,D:\dnr\tr\60619\mix.wav,D:\dnr\tr\60619\music.wav,D:\dnr\tr\60619\sfx.wav,D:\dnr\tr\60619\speech.wav
D:\dnr\tr\60645\annots.csv,D:\dnr\tr\60645\mix.wav,D:\dnr\tr\60645\music.wav,D:\dnr\tr\60645\sfx.wav,D:\dnr\tr\60645\speech.wav
D:\dnr\tr\60656\annots.csv,D:\dnr\tr\60656\mix.wav,D:\dnr\tr\60656\music.wav,D:\dnr\tr\60656\sfx.wav,D:\dnr\tr\60656\speech.wav
D:\dnr\tr\60688\annots.csv,D:\dnr\tr\60688\mix.wav,D:\dnr\tr\60688\music.wav,D:\dnr\tr\60688\sfx.wav,D:\dnr\tr\60688\speech.wav
D:\dnr\tr\60705\annots.csv,D:\dnr\tr\60705\mix.wav,D:\dnr\tr\60705\music.wav,D:\dnr\tr\60705\sfx.wav,D:\dnr\tr\60705\speech.wav
D:\dnr\tr\60737\annots.csv,D:\dnr\tr\60737\mix.wav,D:\dnr\tr\60737\music.wav,D:\dnr\tr\60737\sfx.wav,D:\dnr\tr\60737\speech.wav
D:\dnr\tr\60751\annots.csv,D:\dnr\tr\60751\mix.wav,D:\dnr\tr\60751\music.wav,D:\dnr\tr\60751\sfx.wav,D:\dnr\tr\60751\speech.wav
D:\dnr\tr\60755\annots.csv,D:\dnr\tr\60755\mix.wav,D:\dnr\tr\60755\music.wav,D:\dnr\tr\60755\sfx.wav,D:\dnr\tr\60755\speech.wav
D:\dnr\tr\60764\annots.csv,D:\dnr\tr\60764\mix.wav,D:\dnr\tr\60764\music.wav,D:\dnr\tr\60764\sfx.wav,D:\dnr\tr\60764\speech.wav
D:\dnr\tr\60820\annots.csv,D:\dnr\tr\60820\mix.wav,D:\dnr\tr\60820\music.wav,D:\dnr\tr\60820\sfx.wav,D:\dnr\tr\60820\speech.wav
D:\dnr\tr\60848\annots.csv,D:\dnr\tr\60848\mix.wav,D:\dnr\tr\60848\music.wav,D:\dnr\tr\60848\sfx.wav,D:\dnr\tr\60848\speech.wav
D:\dnr\tr\60856\annots.csv,D:\dnr\tr\60856\mix.wav,D:\dnr\tr\60856\music.wav,D:\dnr\tr\60856\sfx.wav,D:\dnr\tr\60856\speech.wav
D:\dnr\tr\60883\annots.csv,D:\dnr\tr\60883\mix.wav,D:\dnr\tr\60883\music.wav,D:\dnr\tr\60883\sfx.wav,D:\dnr\tr\60883\speech.wav
D:\dnr\tr\60886\annots.csv,D:\dnr\tr\60886\mix.wav,D:\dnr\tr\60886\music.wav,D:\dnr\tr\60886\sfx.wav,D:\dnr\tr\60886\speech.wav
D:\dnr\tr\609\annots.csv,D:\dnr\tr\609\mix.wav,D:\dnr\tr\609\music.wav,D:\dnr\tr\609\sfx.wav,D:\dnr\tr\609\speech.wav
D:\dnr\tr\60923\annots.csv,D:\dnr\tr\60923\mix.wav,D:\dnr\tr\60923\music.wav,D:\dnr\tr\60923\sfx.wav,D:\dnr\tr\60923\speech.wav
D:\dnr\tr\60936\annots.csv,D:\dnr\tr\60936\mix.wav,D:\dnr\tr\60936\music.wav,D:\dnr\tr\60936\sfx.wav,D:\dnr\tr\60936\speech.wav
D:\dnr\tr\60942\annots.csv,D:\dnr\tr\60942\mix.wav,D:\dnr\tr\60942\music.wav,D:\dnr\tr\60942\sfx.wav,D:\dnr\tr\60942\speech.wav
D:\dnr\tr\60943\annots.csv,D:\dnr\tr\60943\mix.wav,D:\dnr\tr\60943\music.wav,D:\dnr\tr\60943\sfx.wav,D:\dnr\tr\60943\speech.wav
D:\dnr\tr\60984\annots.csv,D:\dnr\tr\60984\mix.wav,D:\dnr\tr\60984\music.wav,D:\dnr\tr\60984\sfx.wav,D:\dnr\tr\60984\speech.wav
D:\dnr\tr\60999\annots.csv,D:\dnr\tr\60999\mix.wav,D:\dnr\tr\60999\music.wav,D:\dnr\tr\60999\sfx.wav,D:\dnr\tr\60999\speech.wav
D:\dnr\tr\61030\annots.csv,D:\dnr\tr\61030\mix.wav,D:\dnr\tr\61030\music.wav,D:\dnr\tr\61030\sfx.wav,D:\dnr\tr\61030\speech.wav
D:\dnr\tr\61038\annots.csv,D:\dnr\tr\61038\mix.wav,D:\dnr\tr\61038\music.wav,D:\dnr\tr\61038\sfx.wav,D:\dnr\tr\61038\speech.wav
D:\dnr\tr\61043\annots.csv,D:\dnr\tr\61043\mix.wav,D:\dnr\tr\61043\music.wav,D:\dnr\tr\61043\sfx.wav,D:\dnr\tr\61043\speech.wav
D:\dnr\tr\61136\annots.csv,D:\dnr\tr\61136\mix.wav,D:\dnr\tr\61136\music.wav,D:\dnr\tr\61136\sfx.wav,D:\dnr\tr\61136\speech.wav
D:\dnr\tr\61165\annots.csv,D:\dnr\tr\61165\mix.wav,D:\dnr\tr\61165\music.wav,D:\dnr\tr\61165\sfx.wav,D:\dnr\tr\61165\speech.wav
D:\dnr\tr\61253\annots.csv,D:\dnr\tr\61253\mix.wav,D:\dnr\tr\61253\music.wav,D:\dnr\tr\61253\sfx.wav,D:\dnr\tr\61253\speech.wav
D:\dnr\tr\61309\annots.csv,D:\dnr\tr\61309\mix.wav,D:\dnr\tr\61309\music.wav,D:\dnr\tr\61309\sfx.wav,D:\dnr\tr\61309\speech.wav
D:\dnr\tr\61325\annots.csv,D:\dnr\tr\61325\mix.wav,D:\dnr\tr\61325\music.wav,D:\dnr\tr\61325\sfx.wav,D:\dnr\tr\61325\speech.wav
D:\dnr\tr\6133\annots.csv,D:\dnr\tr\6133\mix.wav,D:\dnr\tr\6133\music.wav,D:\dnr\tr\6133\sfx.wav,D:\dnr\tr\6133\speech.wav
D:\dnr\tr\61363\annots.csv,D:\dnr\tr\61363\mix.wav,D:\dnr\tr\61363\music.wav,D:\dnr\tr\61363\sfx.wav,D:\dnr\tr\61363\speech.wav
D:\dnr\tr\61366\annots.csv,D:\dnr\tr\61366\mix.wav,D:\dnr\tr\61366\music.wav,D:\dnr\tr\61366\sfx.wav,D:\dnr\tr\61366\speech.wav
D:\dnr\tr\61380\annots.csv,D:\dnr\tr\61380\mix.wav,D:\dnr\tr\61380\music.wav,D:\dnr\tr\61380\sfx.wav,D:\dnr\tr\61380\speech.wav
D:\dnr\tr\61382\annots.csv,D:\dnr\tr\61382\mix.wav,D:\dnr\tr\61382\music.wav,D:\dnr\tr\61382\sfx.wav,D:\dnr\tr\61382\speech.wav
D:\dnr\tr\61387\annots.csv,D:\dnr\tr\61387\mix.wav,D:\dnr\tr\61387\music.wav,D:\dnr\tr\61387\sfx.wav,D:\dnr\tr\61387\speech.wav
D:\dnr\tr\61423\annots.csv,D:\dnr\tr\61423\mix.wav,D:\dnr\tr\61423\music.wav,D:\dnr\tr\61423\sfx.wav,D:\dnr\tr\61423\speech.wav
D:\dnr\tr\61450\annots.csv,D:\dnr\tr\61450\mix.wav,D:\dnr\tr\61450\music.wav,D:\dnr\tr\61450\sfx.wav,D:\dnr\tr\61450\speech.wav
D:\dnr\tr\6147\annots.csv,D:\dnr\tr\6147\mix.wav,D:\dnr\tr\6147\music.wav,D:\dnr\tr\6147\sfx.wav,D:\dnr\tr\6147\speech.wav
D:\dnr\tr\61483\annots.csv,D:\dnr\tr\61483\mix.wav,D:\dnr\tr\61483\music.wav,D:\dnr\tr\61483\sfx.wav,D:\dnr\tr\61483\speech.wav
D:\dnr\tr\61521\annots.csv,D:\dnr\tr\61521\mix.wav,D:\dnr\tr\61521\music.wav,D:\dnr\tr\61521\sfx.wav,D:\dnr\tr\61521\speech.wav
D:\dnr\tr\6154\annots.csv,D:\dnr\tr\6154\mix.wav,D:\dnr\tr\6154\music.wav,D:\dnr\tr\6154\sfx.wav,D:\dnr\tr\6154\speech.wav
D:\dnr\tr\61579\annots.csv,D:\dnr\tr\61579\mix.wav,D:\dnr\tr\61579\music.wav,D:\dnr\tr\61579\sfx.wav,D:\dnr\tr\61579\speech.wav
D:\dnr\tr\616\annots.csv,D:\dnr\tr\616\mix.wav,D:\dnr\tr\616\music.wav,D:\dnr\tr\616\sfx.wav,D:\dnr\tr\616\speech.wav
D:\dnr\tr\61656\annots.csv,D:\dnr\tr\61656\mix.wav,D:\dnr\tr\61656\music.wav,D:\dnr\tr\61656\sfx.wav,D:\dnr\tr\61656\speech.wav
D:\dnr\tr\61661\annots.csv,D:\dnr\tr\61661\mix.wav,D:\dnr\tr\61661\music.wav,D:\dnr\tr\61661\sfx.wav,D:\dnr\tr\61661\speech.wav
D:\dnr\tr\61678\annots.csv,D:\dnr\tr\61678\mix.wav,D:\dnr\tr\61678\music.wav,D:\dnr\tr\61678\sfx.wav,D:\dnr\tr\61678\speech.wav
D:\dnr\tr\61689\annots.csv,D:\dnr\tr\61689\mix.wav,D:\dnr\tr\61689\music.wav,D:\dnr\tr\61689\sfx.wav,D:\dnr\tr\61689\speech.wav
D:\dnr\tr\61769\annots.csv,D:\dnr\tr\61769\mix.wav,D:\dnr\tr\61769\music.wav,D:\dnr\tr\61769\sfx.wav,D:\dnr\tr\61769\speech.wav
D:\dnr\tr\61818\annots.csv,D:\dnr\tr\61818\mix.wav,D:\dnr\tr\61818\music.wav,D:\dnr\tr\61818\sfx.wav,D:\dnr\tr\61818\speech.wav
D:\dnr\tr\61845\annots.csv,D:\dnr\tr\61845\mix.wav,D:\dnr\tr\61845\music.wav,D:\dnr\tr\61845\sfx.wav,D:\dnr\tr\61845\speech.wav
D:\dnr\tr\61873\annots.csv,D:\dnr\tr\61873\mix.wav,D:\dnr\tr\61873\music.wav,D:\dnr\tr\61873\sfx.wav,D:\dnr\tr\61873\speech.wav
D:\dnr\tr\61879\annots.csv,D:\dnr\tr\61879\mix.wav,D:\dnr\tr\61879\music.wav,D:\dnr\tr\61879\sfx.wav,D:\dnr\tr\61879\speech.wav
D:\dnr\tr\6192\annots.csv,D:\dnr\tr\6192\mix.wav,D:\dnr\tr\6192\music.wav,D:\dnr\tr\6192\sfx.wav,D:\dnr\tr\6192\speech.wav
D:\dnr\tr\6194\annots.csv,D:\dnr\tr\6194\mix.wav,D:\dnr\tr\6194\music.wav,D:\dnr\tr\6194\sfx.wav,D:\dnr\tr\6194\speech.wav
D:\dnr\tr\61959\annots.csv,D:\dnr\tr\61959\mix.wav,D:\dnr\tr\61959\music.wav,D:\dnr\tr\61959\sfx.wav,D:\dnr\tr\61959\speech.wav
D:\dnr\tr\62062\annots.csv,D:\dnr\tr\62062\mix.wav,D:\dnr\tr\62062\music.wav,D:\dnr\tr\62062\sfx.wav,D:\dnr\tr\62062\speech.wav
D:\dnr\tr\62076\annots.csv,D:\dnr\tr\62076\mix.wav,D:\dnr\tr\62076\music.wav,D:\dnr\tr\62076\sfx.wav,D:\dnr\tr\62076\speech.wav
D:\dnr\tr\62085\annots.csv,D:\dnr\tr\62085\mix.wav,D:\dnr\tr\62085\music.wav,D:\dnr\tr\62085\sfx.wav,D:\dnr\tr\62085\speech.wav
D:\dnr\tr\62088\annots.csv,D:\dnr\tr\62088\mix.wav,D:\dnr\tr\62088\music.wav,D:\dnr\tr\62088\sfx.wav,D:\dnr\tr\62088\speech.wav
D:\dnr\tr\62144\annots.csv,D:\dnr\tr\62144\mix.wav,D:\dnr\tr\62144\music.wav,D:\dnr\tr\62144\sfx.wav,D:\dnr\tr\62144\speech.wav
D:\dnr\tr\62177\annots.csv,D:\dnr\tr\62177\mix.wav,D:\dnr\tr\62177\music.wav,D:\dnr\tr\62177\sfx.wav,D:\dnr\tr\62177\speech.wav
D:\dnr\tr\62183\annots.csv,D:\dnr\tr\62183\mix.wav,D:\dnr\tr\62183\music.wav,D:\dnr\tr\62183\sfx.wav,D:\dnr\tr\62183\speech.wav
D:\dnr\tr\62287\annots.csv,D:\dnr\tr\62287\mix.wav,D:\dnr\tr\62287\music.wav,D:\dnr\tr\62287\sfx.wav,D:\dnr\tr\62287\speech.wav
D:\dnr\tr\62288\annots.csv,D:\dnr\tr\62288\mix.wav,D:\dnr\tr\62288\music.wav,D:\dnr\tr\62288\sfx.wav,D:\dnr\tr\62288\speech.wav
